,movie_name,production_year,movie_odid,production_budget,domestic_box_office,international_box_office,rating,creative_type,source,production_method,genre,sequel,running_time,world_wide_box_office
1761,The Great Wall,2016,221780100,150000000,45157105,289329747,PG-13,Historical Fiction,Original Screenplay,Live Action,Action,0.0,104.0,334486852
1762,Wonder Woman,2016,106850100,150000000,412563408,408569970,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0.0,141.0,821133378
1763,Moana,2016,194150100,150000000,248757044,388760321,PG,Kids Fiction,Original Screenplay,Digital Animation,Musical,0.0,113.0,637517365
1764,Beauty and the Beast,2016,226650100,160000000,504014165,755185541,PG,Fantasy,Remake,Animation/Live Action,Musical,0.0,123.0,1259199706
1765,Doctor Strange,2016,218470100,165000000,232641920,443762646,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0.0,115.0,676404566
1766,Alice Through the Looking Glass,2016,200450100,170000000,77042381,199885731,PG,Fantasy,Based on Fiction Book/Short Story,Animation/Live Action,Adventure,1.0,113.0,276928112
1767,King Arthur: Legend of the Sword,2016,206470100,175000000,39175066,100455270,PG-13,Fantasy,Based on Folk Tale/Legend/Fairytale,Live Action,Adventure,0.0,126.0,139630336
1768,Spider-Man: Homecoming,2016,224140100,175000000,334201140,545965210,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0.0,133.0,880166350
1769,Suicide Squad,2016,215980100,175000000,325100054,420959833,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0.0,123.0,746059887
1770,Fantastic Beasts and Where to Find Them,2016,209020100,180000000,234037575,568365278,PG-13,Fantasy,Spin-Off,Live Action,Adventure,0.0,133.0,802402853
1771,Kong: Skull Island,2016,211450100,185000000,168052812,393019247,PG-13,Science Fiction,Original Screenplay,Live Action,Adventure,0.0,118.0,561072059
1772,Star Trek Beyond,2016,222960100,185000000,158848340,176953893,PG-13,Science Fiction,Based on TV,Live Action,Adventure,1.0,122.0,335802233
1773,The Mummy,2016,201840100,195000000,80101125,329852780,PG-13,Historical Fiction,Based on Folk Tale/Legend/Fairytale,Live Action,Adventure,0.0,107.0,409953905
1774,Guardians of the Galaxy Vol 2,2016,211440100,200000000,389813101,472503132,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1.0,136.0,862316233
