,genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,genre_list,action,adventure,animation,comedy,crime,documentary,drama,family,fantasy,history,horror,music,mystery,romance,scifi,TV_movie,thriller,war,western
12218,"[35, 27, 878]",428282,en,Never Open the Door,1.4280000000000002,2014-12-01,Never Open the Door,5.0,7,"['Comedy', 'Horror', 'Science Fiction']",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
12219,[99],288846,en,Inside 'Inside Llewyn Davis',1.425,2014-03-11,Inside 'Inside Llewyn Davis',6.8,10,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12220,"[18, 10749]",199647,en,The Color of Time,1.425,2014-12-09,The Color of Time,3.9,15,"['Drama', 'Romance']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
12221,"[27, 99]",499739,en,Creating Carrie,1.4180000000000001,2014-01-14,Creating Carrie,6.7,17,"['Horror', 'Documentary']",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
12222,"[53, 80, 27]",417707,en,The Laughing Mask,1.4140000000000001,2014-10-31,The Laughing Mask,4.1,8,"['Thriller', 'Crime', 'Horror']",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12223,"[35, 18]",261823,en,Loitering with Intent,1.412,2014-04-18,Loitering with Intent,4.4,7,"['Comedy', 'Drama']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12224,"[27, 53]",291452,en,Camp Blood First Slaughter,1.412,2014-05-20,Camp Blood First Slaughter,3.1,7,"['Horror', 'Thriller']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12225,[99],292985,en,The Story of Frozen: Making a Disney Animated Classic,1.41,2014-09-15,The Story of Frozen: Making a Disney Animated Classic,7.1,15,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12226,[99],261041,en,The Search for General Tso,1.4040000000000001,2014-04-20,The Search for General Tso,6.7,31,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12227,[53],226788,fr,La confrérie des larmes,1.402,2014-04-27,Brotherhood of Tears,5.6,20,['Thriller'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12228,"[35, 18, 10751]",312167,en,Merry Ex-Mas,1.401,2014-12-05,Merry Ex-Mas,1.7,5,"['Comedy', 'Drama', 'Family']",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
